-2040,8688
-2040,8715
-2040,8743
-2040,8769
-2040,8798
-644,8822
2040,8852
664,8879
-2040,8906
-2040,8931
-2040,8960
-2040,8986
-2040,9014
-2040,9041
-2040,9067
-1312,9096
180,9120
2040,9144
2036,9169
1436,9199
-472,9228
-2040,9253
-2040,9282
-2040,9308
-2040,9336
-2040,9363
-2040,9387
-1708,9413
-552,9442
-1772,9466
-2040,9491
-2040,9521
-2040,9547
-2040,9574
-2040,9600
-2040,9624
-1336,9652
1316,9679
1740,9703
1364,9729
196,9758
1720,9783
-60,9810
-2040,9837
-2040,9867
-2040,9891
-2040,9921
-2040,9945
-2040,9970
-1356,9998
712,10025
2040,10052
-2040,10080
-2040,10104
-2040,10129
-2040,10155
-2040,10183
-1008,10213
-700,10243
-504,10268
2040,10296
2040,10324
2040,10352
-392,10379
-2040,10405
-2040,10434
-2040,10458
-2040,10483
-2040,10513
-1236,10541
440,10567
2040,10592
2040,10616
2040,10642
-100,10668
-2040,10695
-2040,10722
-2040,10750
-2040,10774
-1208,10799
-1176,10847
432,10871
1672,10899
2040,10923
-444,10949
-692,10978
-2040,11008
-2040,11038
-2040,11068
-2040,11093
-2040,11120
-780,11146
1348,11171
2040,11197
2040,11221
1588,11247
-1192,11272
-2040,11301
-2040,11331
-2040,11355
-2040,11381
-868,11408
240,11435
260,11459
852,11486
540,11511
1768,11536
2040,11562
2040,11587
1800,11617
-272,11641
-1360,11671
-2040,11696
-2040,11724
-1084,11751
-780,11778
-104,11806
812,11830
1744,11855
-2040,11881
-2040,11908
-2040,11938
-2040,11968
-2040,11993
-2040,12022
-516,12048
-1304,12074
-232,12102
2040,12127
2036,12153
2036,12182
2040,12206
812,12236
-1752,12266
-2040,12291
-2040,12318
-2040,12344
-1496,12369
-1028,12394
80,12421
352,12449
4,12475
-2040,12504
-2040,12528
-2040,12559
-2040,12583
-2040,12613
-1256,12638
-504,12666
648,12693
2040,12717
2040,12744
2040,12772
2040,12796
-2040,12821
-2040,12851
-2040,12875
-2040,12905
-2040,12935
-2040,12960
-1312,12987
260,13012
2040,13039
1952,13066
240,13094
-2040,13118
-2040,13144
-2040,13169
-2040,13197
-996,13245
-512,13271
-444,13298
-764,13322
-516,13346
-156,13373
-736,13400
-2016,13425
-2040,13454
-2040,13480
-2040,13508
-2040,13535
-1192,13561
448,13590
1336,13615
2040,13645
2040,13669
2040,13698
324,13722
-2040,13748
-2040,13776
-2040,13803
120,13830
644,13858
1832,13884
2040,13913
2040,13937
2040,13967
2040,13997
2040,14022
1104,14051
704,14077
-1216,14101
-2040,14129
-2040,14156
-1596,14182
-2040,14211
-2040,14235
-632,14265
-1480,14296
-2040,14320
-2040,14347
-2040,14373
-2040,14400
-2040,14424
172,14451
1376,14479
1604,14503
1664,14528
2040,14558
2040,14582
2040,14606
904,14631
-1112,14660
-2040,14686
-2040,14710
-1892,14737
-1936,14765
-1384,14791
-504,14820
-260,14846
204,14874
900,14899
376,14928
-672,14954
-2040,14978
-2040,15005
-2040,15033
-1100,15059
-1096,15088
-852,15113
-84,15138
232,15167
380,15191
-212,15220
-228,15244
-32,15270
-2040,15298
-2040,15325
-2040,15352
-1924,15380
-2040,15405
-2040,15433
-1792,15459
-1176,15489
-36,15514
1592,15543
2040,15572
2040,15596
-2040,15644
-2040,15669
-2040,15698
-1000,15724
908,15752
1204,15779
1492,15803
-1412,15829
-2040,15858
-2040,15883
-2040,15910
-1804,15936
-1596,15961
-1472,15990
-916,16015
-564,16044
-692,16070
176,16098
-1944,16125
-1884,16150
-1016,16175
-172,16204
272,16235
680,16259
588,16289
-972,16314
-1876,16338
-2012,16366
-2040,16393
-2040,16420
-1792,16448
-1268,16474
-556,16499
-1008,16527
-1728,16557
-1060,16582
-792,16611
-924,16637
-508,16661
-264,16688
-372,16716
-472,16740
-584,16766
256,16795
-344,16819
-1576,16850
-2040,16880
-2040,16904
-2040,16932
-1332,16957
-692,16983
-464,17011
-752,17038
-704,17062
-228,17088
596,17117
328,17142
-88,17168
-1028,17193
8,17219
-1360,17245
-1540,17273
-1552,17300
-1240,17324
-2040,17351
-2040,17379
-2040,17405
-2040,17432
-2040,17458
-1216,17483
-240,17509
-200,17536
116,17561
348,17588
960,17615
940,17643
388,17669
364,17698
52,17722
-1252,17752
-1400,17779
-1476,17806
-1452,17831
-1156,17860
-740,17886
-808,17912
-800,17938
-672,17965
-1452,17991
-1368,18042
-2040,18069
-2040,18096
-2040,18120
-840,18146
1212,18173
1288,18199
672,18224
1272,18254
1820,18284
1036,18309
1284,18338
-1432,18363
-2032,18391
-2040,18418
-2040,18445
-2040,18473
-1800,18499
-672,18528
-352,18558
156,18588
1132,18613
-864,18642
-2040,18668
-2040,18694
-2040,18719
-2040,18747
-2040,18773
-1120,18802
-1168,18833
40,18857
1128,18886
2040,18912
2040,18936
1632,18964
-112,18991
1428,19015
